"","year","Name","Surge","MaxWindSpeed","RainfallPointMax","Tornado","Radius","Pressure","Surge_Z","MaxWindSpeed_Z","RainfallPointMax_Z","Tornado_Z","Pressure_Z","Radius_Z"
"118",2002,"FAY",NA,50,469.646,11,NA,999,NA,-0.590317910537811,0.297097806468441,-0.260020562439054,0.844700334428443,NA
"119",2008,"FAY",NA,55,702.31,49,65,991,NA,-0.408205825379738,1.27472658040283,1.48811768042043,0.521966892853674,-0.0422077599016847
"120",2014,"FAY",NA,70,NA,NA,60,984,NA,0.138130430094478,NA,NA,0.239575131475751,-0.116835973061185
"121",2007,"FELIX",18,140,NA,NA,60,934,2.48492757430063,2.68769962230749,NA,NA,-1.77750887836656,-0.116835973061185
"122",2002,"FENGSHEN",NA,55,NA,NA,NA,970,NA,-0.408205825379738,NA,NA,-0.325208391280095,NA
"123",2013,"FERNAND",NA,50,NA,NA,10,1001,NA,-0.590317910537811,NA,NA,0.925383694822135,-0.863118104656189
"124",2019,"FERNAND",NA,40,NA,NA,0,1003,NA,-0.954542080853955,NA,NA,1.00606705521583,-1.01237453097519
"125",2007,"FITOW",NA,65,NA,NA,NA,970,NA,-0.0439816550635943,NA,NA,-0.325208391280095,NA
"126",1988,"FLORENCE",6,70,274.066,NA,NA,984,-0.0907458266328897,0.138130430094478,-0.524708040616141,NA,0.239575131475751,NA
"127",2018,"FLORENCE",6,80,912.622,44,110,956,-0.0907458266328897,0.502354600410622,2.15843468609897,1.2580994905705,-0.889991914035941,0.629446158533819
"128",1987,"FLOYD",5.28,65,255.778,NA,NA,993,-0.245286230688901,-0.0439816550635943,-0.601552223720153,NA,0.602650253247366,NA
"129",1999,"FLOYD",5.28,110,611.124,18,NA,930,-0.245286230688901,1.59502711135905,0.891572945203652,0.0620049033508513,-1.93887559915394,NA
"130",1996,"FRAN",3.28,100,406.4,2,NA,954,-0.674565130844488,1.23080294104291,0.0313450065670634,-0.674053304168932,-0.970675274429634,NA
"131",1998,"FRANCES",NA,45,1119.124,14,NA,990,NA,-0.772429995695883,3.02613358698179,-0.122009648529094,0.481625212656828,NA
"132",2004,"FRANCES",NA,110,598.678,103,125,948,NA,1.59502711135905,0.839276209480087,3.9723141307997,-1.21272535561071,0.85333079801232
"133",2019,"FRANCISCO",NA,70,NA,NA,NA,970,NA,0.138130430094478,NA,NA,-0.325208391280095,NA
"134",2017,"FRANKLIN",NA,70,NA,NA,50,990,NA,0.138130430094478,NA,NA,0.481625212656828,-0.266092399380186
"135",1995,"GABRIELLE",NA,60,493.776,NA,NA,988,NA,-0.226093740221666,0.398489436952903,NA,0.400941852263135,NA
"136",2001,"GABRIELLE",NA,60,383.54,18,NA,983,NA,-0.226093740221666,-0.0647102223129524,0.0620049033508513,0.199233451278905,NA
"137",2007,"GABRIELLE",NA,50,229.362,NA,15,1005,NA,-0.590317910537811,-0.712549377092616,NA,1.08675041560952,-0.788489891496689
"138",2004,"GASTON",NA,65,320.04,18,25,985,NA,-0.0439816550635943,-0.331530302535219,0.0620049033508513,0.279916811672597,-0.639233465177688
"139",1998,"GEORGES",10,105,976.884,48,NA,962,0.767811973678285,1.41291502620098,2.42845660728391,1.44211404245044,-0.647941832854864,NA
"140",1993,"GERT",3,85,804.926,NA,NA,970,-0.73466417686627,0.684466685568694,1.70590783004201,NA,-0.325208391280095,NA
"141",2005,"GERT",3,40,NA,NA,0,1005,-0.73466417686627,-0.954542080853955,NA,NA,1.08675041560952,-1.01237453097519
"142",1988,"GILBERT",9,140,350.012,NA,NA,900,0.553172523600491,2.68769962230749,-0.205591224670309,NA,-3.14912600505933,NA
"143",1985,"GLORIA",NA,90,246.38,NA,NA,942,NA,0.866578770726766,-0.641041595593049,NA,-1.45477543679179,NA
"144",2015,"GONI",NA,90,NA,NA,NA,940,NA,0.866578770726766,NA,NA,-1.53545879718548,NA
"145",2014,"GONZALO",NA,95,NA,NA,200,952,NA,1.04869085588484,NA,NA,-1.05135863482333,1.97275399540483
"146",1994,"GORDON",NA,45,408.94,NA,NA,996,NA,-0.772429995695883,0.0420178097759542,NA,0.723675293837905,NA
"147",2000,"GORDON",NA,55,288.29,11,NA,991,NA,-0.408205825379738,-0.464940342646353,-0.260020562439054,0.521966892853674,NA
"148",2012,"GORDON",NA,65,NA,NA,60,984,NA,-0.0439816550635943,NA,NA,0.239575131475751,-0.116835973061185
"149",2018,"GORDON",NA,60,323.342,7,20,996,NA,-0.226093740221666,-0.317655658363661,-0.444035114318999,0.723675293837905,-0.713861678337188
"150",2003,"GRACE",2,35,263.144,NA,NA,1007,-0.949303626944064,-1.13665416601203,-0.57060109441437,NA,1.16743377600321,NA
"151",2012,"GUCHOL",NA,70,NA,NA,NA,960,NA,0.138130430094478,NA,NA,-0.728625193248557,NA
"152",2002,"GUSTAV",4.43,80,152.4,1,NA,960,-0.427729763255026,0.502354600410622,-1.035935314322,-0.720056942138918,-0.728625193248557,NA
