"","X","h_name","h_id","datetime","lat","lon","radius","windspeed_max","pressure_min","wind_34_ne","wind_34_se","wind_34_sw","wind_50_ne","wind_50_se","wind_50_sw","wind_50_nw","wind_64_ne","wind_64_se","wind_64_sw","wind_64_nw","rainfall","year","point_max","location"
"185",182,"KIRK","AL122018","2018-09-28 00:00:00","13.8N","60.9W",130,45,1002,130,130,60,0,0,0,0,0,0,0,0,608.63,"2018",NA,NA
"186",183,"KYLE","AL111996","1996-10-12 12:00:00","16.0N","88.1W",0,30,1008,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1996",NA,NA
"187",184,"KYLE","AL112008","2008-09-29 00:00:00","43.8N","66.2W",210,65,985,210,210,75,75,75,60,45,70,70,70,40,40.785,"2008",NA,NA
"188",185,"KYLE","AL122002","2002-10-11 17:00:00","33.0N","78.4W",0,35,1011,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2002",NA,NA
"189",186,"LARRY","AL172003","2003-10-05 10:00:00","18.4N","93.5W",0,50,996,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2003",NA,NA
"190",187,"LEE","AL132011","2011-09-04 10:00:00","29.6N","92.1W",225,40,986,225,225,60,0,0,0,0,0,0,0,0,0,"2011",NA,NA
"191",188,"LENNY","AL161999","1999-11-17 18:00:00","17.3N","61.8W",0,135,933,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1999",NA,NA
"192",189,"LILI","AL121996","1996-10-18 09:00:00","22.3N","82.0W",0,85,975,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1996",12.08,"ENPBS, FL"
"193",190,"LILI","AL132002","2002-09-30 14:00:00","19.7N","79.8W",0,90,963,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2002",8.4,"Buras, LA"
"194",191,"LORENZO","AL132007","2007-09-28 05:00:00","20.5N","97.0W",0,65,993,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2007",NA,NA
"195",192,"LUIS","AL131995","1995-09-05 12:00:00","17.5N","61.7W",0,115,945,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1995",NA,NA
"196",193,"MARCO","AL132008","2008-10-07 12:00:00","19.9N","96.5W",15,55,998,15,15,15,5,5,0,0,0,0,0,0,248.231,"2008",NA,NA
"197",194,"MARIA","AL142011","2011-09-16 18:00:00","47.0N","53.5W",300,60,983,300,270,60,150,150,0,0,0,0,0,0,0.038,"2011",NA,NA
