"","X","h_name","h_id","datetime","lat","lon","radius","windspeed_max","pressure_min","wind_34_ne","wind_34_se","wind_34_sw","wind_50_ne","wind_50_se","wind_50_sw","wind_50_nw","wind_64_ne","wind_64_se","wind_64_sw","wind_64_nw","rainfall","year","name_lower"
"300",300,"ISABEL","AL111985","1985-10-10 21:00:00","30.6N","81.4W",0,35,1008,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1985","isabel"
"301",301,"ISABEL","AL132003","2003-09-18 17:00:00","34.9N","76.2W",0,90,957,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2003","isabel"
"302",302,"ISIDORE","AL102002","2002-09-20 21:00:00","22.0N","84.1W",0,75,964,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2002","isidore"
"303",303,"ISIDORE","AL102002","2002-09-22 21:00:00","21.3N","89.3W",0,110,936,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2002","isidore"
"304",304,"ISIDORE","AL102002","2002-09-26 06:00:00","29.1N","90.3W",0,55,984,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2002","isidore"
"305",305,"IVAN","AL092004","2004-09-16 06:00:00","30.2N","87.9W",0,105,946,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,118.338,"2004","ivan"
"306",306,"IVAN","AL092004","2004-09-24 02:00:00","29.8N","93.6W",0,30,1004,0,0,0,0,0,0,0,0,0,0,0,0,"2004","ivan"
"307",307,"JEANNE","AL112004","2004-09-14 04:00:00","16.2N","61.3W",0,30,1009,0,0,0,0,0,0,0,0,0,0,0,0,"2004","jeanne"
"308",308,"JEANNE","AL112004","2004-09-15 16:00:00","18.0N","66.0W",0,60,991,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2004","jeanne"
"309",309,"JEANNE","AL112004","2004-09-16 11:00:00","18.6N","68.3W",0,70,985,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2004","jeanne"
"310",310,"JEANNE","AL112004","2004-09-25 14:00:00","26.7N","77.3W",0,100,956,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2004","jeanne"
"311",311,"JEANNE","AL112004","2004-09-26 04:00:00","27.2N","80.2W",0,105,950,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2004","jeanne"
"312",312,"JERRY","AL111995","1995-08-23 18:00:00","27.0N","80.2W",0,35,1006,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1995","jerry"
"313",313,"JERRY","AL141989","1989-10-16 00:00:00","29.2N","95.0W",0,75,983,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1989","jerry"
"314",314,"JOAN","AL111988","1988-10-15 01:00:00","12.1N","61.8W",0,45,1003,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1988","joan"
"315",315,"JOAN","AL111988","1988-10-17 06:00:00","12.0N","71.2W",0,55,997,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1988","joan"
"316",316,"JOAN","AL111988","1988-10-22 10:00:00","11.9N","83.7W",0,125,932,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1988","joan"
"317",317,"JOAQUIN","AL112015","2015-10-01 12:00:00","23.1N","73.7W",150,115,942,110,150,110,60,60,40,50,35,35,35,30,1153.459,"2015","joaquin"
"318",318,"JOAQUIN","AL112015","2015-10-02 16:00:00","23.6N","74.8W",180,110,940,130,180,120,80,80,70,70,45,45,45,45,0,"2015","joaquin"
"319",319,"JOAQUIN","AL112015","2015-10-02 21:00:00","24.1N","74.5W",180,110,942,140,180,120,80,80,70,70,50,50,50,45,0,"2015","joaquin"
"320",320,"JOSE","AL112005","2005-08-23 03:00:00","19.7N","96.4W",0,50,998,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2005","jose"
"321",321,"JOSE","AL141999","1999-10-20 16:00:00","17.1N","61.7W",0,80,982,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1999","jose"
"322",322,"JOSE","AL141999","1999-10-21 11:00:00","18.4N","64.6W",0,60,996,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1999","jose"
"323",323,"JOSEPHINE","AL101996","1996-10-08 03:00:00","30.0N","83.9W",0,60,983,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1996","josephine"
"324",324,"JUAN","AL121985","1985-10-29 11:00:00","29.5N","91.4W",0,65,974,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1985","juan"
"325",325,"JUAN","AL152003","2003-09-29 03:00:00","44.4N","63.8W",0,85,973,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2003","juan"
"326",326,"JULIA","AL112016","2016-09-13 06:00:00","27.3N","80.2W",0,30,1010,0,0,0,0,0,0,0,0,0,0,0,94.147,"2016","julia"
"327",327,"KAREN","AL122019","2019-09-24 22:00:00","18.1N","65.4W",70,40,1004,0,70,0,0,0,0,0,0,0,0,0,0,"2019","karen"
"328",328,"KAREN","AL122019","2019-09-24 23:00:00","18.3N","65.3W",70,40,1004,0,70,0,0,0,0,0,0,0,0,0,0,"2019","karen"
"329",329,"KAREN","AL132001","2001-10-15 12:00:00","44.2N","64.8W",0,40,998,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2001","karen"
"330",330,"KARL","AL132010","2010-09-15 12:00:00","18.5N","87.8W",45,55,991,45,30,45,30,30,25,30,0,0,0,0,1325.76,"2010","karl"
"331",331,"KARL","AL132010","2010-09-17 16:00:00","19.3N","96.2W",80,100,976,80,70,80,40,40,30,40,20,20,20,20,0,"2010","karl"
"332",332,"KATE","AL131985","1985-11-21 22:00:00","30.0N","85.4W",0,85,967,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1985","kate"
"333",333,"KATIA","AL132017","2017-09-09 03:00:00","20.6N","97.1W",50,65,990,50,50,40,20,20,20,20,10,10,10,10,0,"2017","katia"
"334",334,"KATRINA","AL122005","2005-08-25 22:00:00","26.0N","80.1W",0,70,984,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2005","katrina"
"335",335,"KATRINA","AL122005","2005-08-29 11:00:00","29.3N","89.6W",0,110,920,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2005","katrina"
"336",336,"KATRINA","AL122005","2005-08-29 14:00:00","30.2N","89.6W",0,105,928,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2005","katrina"
"337",337,"KATRINA","AL151999","1999-10-30 00:00:00","13.8N","83.4W",0,35,999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1999","katrina"
"338",338,"KEITH","AL121988","1988-11-21 08:00:00","21.2N","86.8W",0,60,993,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1988","keith"
"339",339,"KEITH","AL121988","1988-11-23 07:00:00","27.3N","82.6W",0,55,995,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1988","keith"
"340",340,"KEITH","AL152000","2000-10-02 23:00:00","17.9N","88.0W",0,65,988,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2000","keith"
"341",341,"KEITH","AL152000","2000-10-03 03:00:00","17.9N","88.2W",0,60,990,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2000","keith"
