"","date","hours","id","status","lat","lon","windspeed_max","pressure_min","wind_34_ne","wind_34_se","wind_34_sw","wind_34_nw","wind_50_ne","wind_50_se","wind_50_sw","wind_50_nw","wind_64_ne","wind_64_se","wind_64_sw","wind_64_nw","h_name"
"141","19800821","0000","","SD","34.0N","71.0W","30","1006","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","CHARLEY"
"142","19800821","0600","","SD","33.4N","69.5W","30","1005","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","CHARLEY"
"143","19800821","1200","","SS","34.0N","68.0W","35","1003","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","CHARLEY"
"144","19800821","1800","","SS","34.8N","66.8W","40","1002","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","CHARLEY"
"145","19800822","0000","","SS","35.8N","65.7W","45","1000","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","CHARLEY"
"146","19800822","0600","","SS","37.0N","64.8W","50","998","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","CHARLEY"
"147","19800822","1200","","SS","38.3N","64.7W","55","996","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","CHARLEY"
"148","19800822","1800","","SS","39.1N","64.9W","60","994","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","CHARLEY"
"149","19800823","0000","","HU","39.6N","65.9W","65","992","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","CHARLEY"
"150","19800823","0600","","HU","38.9N","66.7W","70","990","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","CHARLEY"
"151","19800823","1200","","HU","38.2N","66.0W","70","989","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","CHARLEY"
"152","19800823","1800","","HU","38.0N","64.7W","70","990","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","CHARLEY"
"153","19800824","0000","","HU","38.0N","63.1W","65","991","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","CHARLEY"
"154","19800824","0600","","TS","37.9N","61.7W","60","994","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","CHARLEY"
"155","19800824","1200","","TS","37.9N","60.2W","55","998","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","CHARLEY"
"156","19800824","1800","","TS","37.9N","58.2W","45","1000","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","CHARLEY"
"157","19800825","0000","","TS","38.0N","55.0W","35","1001","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","CHARLEY"
"158","19800825","0600","","TS","38.1N","51.3W","35","1002","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","CHARLEY"
"159","19800825","1200","","TS","38.2N","47.0W","35","1004","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","CHARLEY"
"160","19800825","1800","","TS","38.5N","42.2W","35","1005","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","CHARLEY"
"161","19800825","0000","","TD","15.9N","31.6W","20","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"162","19800825","0600","","TD","15.8N","34.0W","25","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"163","19800825","1200","","TD","15.7N","35.3W","25","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"164","19800825","1800","","TD","15.6N","36.9W","25","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"165","19800826","0000","","TD","15.5N","38.3W","25","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"166","19800826","0600","","TD","15.4N","39.8W","25","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"167","19800826","1200","","TD","15.4N","41.0W","25","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"168","19800826","1800","","TD","15.3N","43.0W","30","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"169","19800827","0000","","TD","15.4N","44.9W","30","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"170","19800827","0600","","TD","15.8N","46.8W","30","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"171","19800827","1200","","TD","16.0N","48.8W","30","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"172","19800827","1800","","TD","16.7N","50.8W","30","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"173","19800828","0000","","TD","17.8N","52.7W","30","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"174","19800828","0600","","TD","19.0N","54.3W","30","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"175","19800828","1200","","TD","20.5N","56.0W","25","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"176","19800828","1800","","TD","22.0N","58.0W","25","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"177","19800829","0000","","TD","22.5N","60.0W","20","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
